traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-26 00:00:00,-18.147821201267092,-47.919009029037824,1000.0,298.8662685071491,0.027609372889746676
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-25 18:00:00,-17.90446456356257,-47.55241203685073,1000.0,298.8662685071491,0.02404745682340088
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-25 12:00:00,-17.89034814643258,-47.096087624397505,1000.0,298.8662685071491,0.02222734163744545
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-25 06:00:00,-18.077496483019655,-46.8755747214892,1000.0,298.8662685071491,0.041059888718444904
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-25 00:00:00,-18.334675787847488,-46.710855876646946,1000.0,298.8662685071491,0.04576279919788962
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-24 18:00:00,-18.432733138362636,-46.71701204189228,1000.0,298.8662685071491,0.039923360067247775
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-24 12:00:00,-18.36373346346195,-46.6200586871402,1000.0,298.8662685071491,0.0394725728908467
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-24 06:00:00,-18.461072157066024,-46.38259917980634,1000.0,298.8662685071491,0.012140554718794522
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-24 00:00:00,-18.50341697885077,-46.141286526701954,1000.0,298.8662685071491,0.008016553728921422
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-23 18:00:00,-18.4811841615017,-45.89458476941286,1000.0,298.8662685071491,0.004935957153590735
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-23 12:00:00,-18.53583365434976,-45.713595564450266,1000.0,298.8662685071491,0.006422549433252924
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-23 06:00:00,-18.782112357017603,-45.58740341820632,1000.0,298.8662685071491,0.019016796838971804
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-23 00:00:00,-19.0670480697109,-45.48597775475526,1000.0,298.8662685071491,0.018027669703700573
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-22 18:00:00,-19.250210882039614,-45.42748574283669,1000.0,298.8662685071491,0.01918634534263829
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-22 12:00:00,-19.297953539434356,-45.37103368479289,1000.0,298.8662685071491,0.01952234019881778
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-22 06:00:00,-19.3613317665334,-44.965801196767906,984.1005662041856,298.8662685071491,0.04178851867099555
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-22 00:00:00,-19.55469951312697,-44.656173718185826,1000.0,298.8662685071491,0.03471125137930124
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-21 18:00:00,-19.702110865316545,-44.474528998514614,1000.0,298.8662685071491,0.022914792551721533
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-21 12:00:00,-19.804784854209938,-44.2621173664502,1000.0,298.8662685071491,0.020320060262863437
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-21 06:00:00,-19.889486129984352,-43.87167978635442,926.5400578416269,298.8662685071491,0.023834127700998502
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-21 00:00:00,-20.03552398165819,-43.55456889163548,921.9631863273186,298.8662685071491,0.018446569921534532
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-20 18:00:00,-20.21516063662412,-43.28521993717085,976.7861653929881,298.8662685071491,0.016776959067352486
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-20 12:00:00,-20.61101128725914,-43.12782076346892,936.4960620413747,298.8662685071491,0.014625003996426345
1o_02-06mai_2024-05-03_-29.0_-50.0,1o_02-06mai,2024-04-20 06:00:00,-20.90646045126659,-42.71178787077765,879.0564418879344,298.8662685071491,0.05027447618847529
