traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 04:00:00,-20.237897977229704,-54.94993298168402,929.3431288171564,304.5742998374175,0.05027719633735295
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 03:00:00,-20.259036819943123,-54.980543382862564,929.860814745138,304.670108565315,0.051771029614398105
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 02:00:00,-20.273240353223652,-55.03728166548866,930.0291832449166,304.7268500457269,0.05450872933904091
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 01:00:00,-20.276500520118013,-55.12337788498025,929.9707624985706,304.85522623766315,0.05907039026147062
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-10 00:00:00,-20.260809128401426,-55.24249271393644,929.0199673754247,305.0075098976256,0.06604319626986858
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 23:00:00,-20.217217863739897,-55.37709558470546,927.8182545442132,305.1024729432327,0.07491254013526728
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 22:00:00,-20.14884363124894,-55.500565634139406,929.4333956904512,305.07017430034733,0.0832338778317688
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 21:00:00,-20.064547167708493,-55.605847089795496,933.3894812219686,304.9392111861655,0.08949024870319026
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 20:00:00,-19.973696428391108,-55.691828552456656,937.886987613376,304.8076092417146,0.09466509260990441
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-09 19:00:00,-19.879929965333776,-55.76073135940744,942.65710308903,304.73978439382637,0.09941791896122024
