datetime,Jz_rms,absJz,nst,Kp_max,Dst_min,aod550_total,aod550_org,aod550_bc,aod550_fumaca
2024-05-14,9.409513822992393,7.0686700241363285,10.4,2.333,-54.0,0.11925828,0.060731884,0.004131207,0.06486309
2024-05-15,14.43476976151607,9.482081830234641,9.936842105263159,3.0,-49.0,0.121019125,0.06183635,0.004003495,0.06583985
2024-05-16,8.480686518610153,6.711245145302377,10.778947368421052,6.0,-82.0,0.12355426,0.06400223,0.004296262,0.06829849
2024-05-17,12.09278915973952,8.560587329431248,10.031578947368422,6.0,,0.13024877,0.07162204,0.004924463,0.0765465
2024-05-18,7.361067912840295,5.976172537431007,10.621052631578948,4.0,,0.1318673,0.07290691,0.0049839923,0.0778909
2024-05-19,8.226556282676995,6.049417005175834,10.421052631578947,2.667,,0.11767231,0.06660058,0.004641378,0.07124196
2024-05-20,8.126387541919037,6.042861816552521,11.23157894736842,2.333,,0.11403191,0.06734823,0.004707965,0.07205619
2024-05-21,8.003487503190026,5.720016508065215,11.126315789473685,2.667,,0.10458876,0.061169587,0.0045931563,0.06576274
2024-05-22,11.988373834469808,7.902915780527068,11.0,1.667,,0.10546748,0.06148278,0.0048568826,0.066339664
2024-05-23,8.958612462329743,5.678201257402178,10.989473684210527,3.333,,0.11168797,0.06432554,0.004991194,0.06931674
2024-05-24,7.443344974172418,5.196822483263421,11.0,3.0,,0.1109986,0.061332002,0.004725266,0.06605727
2024-05-25,5.804450276492471,4.153782870309433,10.442105263157895,2.333,,0.105171695,0.055271108,0.0041927006,0.059463806
2024-05-26,6.350255274266515,4.489427762690451,9.821052631578947,2.667,,0.105348386,0.054074038,0.0038659144,0.057939954
2024-05-27,8.27560903788534,5.62960846038629,7.831578947368421,3.0,,0.10217717,0.053969905,0.0036053488,0.057575256
2024-05-28,9.464570194582087,6.378033299060132,9.43157894736842,2.0,,0.096240334,0.04977538,0.003382721,0.053158104
2024-05-29,9.379471251075747,6.140642345633612,9.947368421052632,2.333,,0.09430312,0.047758833,0.0034095705,0.051168405
2024-05-30,10.97371197765206,7.296309047898324,11.021052631578947,3.333,,0.09161353,0.046749324,0.0034569977,0.050206322
2024-05-31,10.22752869381497,6.950500955687499,10.968421052631578,4.333,,0.08986345,0.049208254,0.0037169924,0.052925248
