T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,onda
-60.0,0.021776079543888435,9.886733509627032,C14,frente,2024-05-06 1400UT,4567,1,O2_surto_06-08mai
-55.0,0.01916593533472151,11.074113910175438,C14,frente,2024-05-06 1400UT,2232,1,O2_surto_06-08mai
-50.0,0.023357149324736908,9.283490742704494,C14,frente,2024-05-06 1400UT,715,1,O2_surto_06-08mai
-45.0,0.03034130879893956,7.393495815926543,C14,frente,2024-05-06 1400UT,157,1,O2_surto_06-08mai
-40.0,0.04130350563749505,5.9611188497187415,C14,frente,2024-05-06 1400UT,32,1,O2_surto_06-08mai
-35.0,0.046250813880113956,5.635713713740095,C14,frente,2024-05-06 1400UT,6,1,O2_surto_06-08mai
-70.0,0.0201897225542005,10.577387641395296,C14,traseira,2024-05-06 1400UT,2439,1,O2_surto_06-08mai
-65.0,0.020103556008364745,10.617580523542404,C14,traseira,2024-05-06 1400UT,2380,1,O2_surto_06-08mai
-60.0,0.02220477678356736,9.715237643306224,C14,traseira,2024-05-06 1400UT,2219,1,O2_surto_06-08mai
-55.0,0.020653209258933707,10.366074362977448,C14,traseira,2024-05-06 1400UT,1289,1,O2_surto_06-08mai
-50.0,0.02185358242973261,9.855273928009172,C14,traseira,2024-05-06 1400UT,1138,1,O2_surto_06-08mai
-45.0,0.02128718681646937,10.089935692045064,C14,traseira,2024-05-06 1400UT,526,1,O2_surto_06-08mai
-40.0,0.025534805669327067,8.572611832379197,C14,traseira,2024-05-06 1400UT,350,1,O2_surto_06-08mai
-35.0,0.03342867636813657,6.850534194114054,C14,traseira,2024-05-06 1400UT,85,1,O2_surto_06-08mai
-30.0,0.04273053421318619,5.852425137052146,C14,traseira,2024-05-06 1400UT,20,1,O2_surto_06-08mai
-20.0,0.057522563204239256,5.248490776204307,C14,traseira,2024-05-06 1400UT,5,1,O2_surto_06-08mai
-60.0,0.01956341029339467,10.87621701781621,C15,inteira,2024-05-06 1400UT,121,1,O2_surto_06-08mai
-55.0,0.01755329867810241,11.947782594207233,C15,inteira,2024-05-06 1400UT,604,1,O2_surto_06-08mai
-50.0,0.017960125245675827,11.716184955566186,C15,inteira,2024-05-06 1400UT,234,1,O2_surto_06-08mai
-45.0,0.018730615583133256,11.298507809667186,C15,inteira,2024-05-06 1400UT,39,1,O2_surto_06-08mai
-40.0,0.0190932376063283,11.111023355606388,C15,inteira,2024-05-06 1400UT,15,1,O2_surto_06-08mai
-35.0,0.016742397139506066,12.433521848506793,C15,inteira,2024-05-06 1400UT,38,1,O2_surto_06-08mai
-65.0,0.013287321121010848,14.91373022613233,C16,inteira,2024-05-06 1400UT,118,1,O2_surto_06-08mai
-60.0,0.013647160864341285,14.620863064527613,C16,inteira,2024-05-06 1400UT,1414,1,O2_surto_06-08mai
